year,month,SAM_index,SAM_9m_rolling,SAM_12m_rolling
2004,1,0.8071,-0.06227777777777774,-0.07339999999999999
2004,2,-1.1819,-0.23632222222222218,-0.14215
2004,3,0.4317,-0.10229999999999999,-0.09053333333333331
2004,4,0.151,-0.1663,-0.09664166666666664
2004,5,0.4596,-0.19056666666666663,-0.09038333333333332
2004,6,1.1954,-0.02184444444444443,0.07377500000000002
2004,7,1.4743,0.14473333333333335,0.13605
2004,8,-0.0712,0.21590000000000006,0.07361666666666666
2004,9,0.2536,0.3910666666666667,0.12167499999999999
2004,10,-0.0425,0.2966666666666667,0.12020833333333335
2004,11,-0.2422,0.4010777777777778,0.15933333333333333
2004,12,-0.9729,0.2450111111111111,0.1885
2005,1,-0.1287,0.21393333333333334,0.11051666666666665
2005,2,1.2435,0.3010333333333333,0.3126333333333333
2005,3,0.1583,0.18580000000000002,0.28985
2005,4,0.3554,0.06147777777777779,0.30688333333333334
2005,5,-0.2973,0.036355555555555565,0.24380833333333332
2005,6,-1.4277,-0.15045555555555554,0.025216666666666665
2005,7,-0.252,-0.17373333333333332,-0.11864166666666666
2005,8,0.2282,-0.12146666666666667,-0.09369166666666667
2005,9,0.2407,0.013377777777777797,-0.09476666666666667
2005,10,0.031,0.031122222222222242,-0.08864166666666666
2005,11,-0.5515,-0.1683222222222222,-0.11441666666666665
2005,12,-1.9678,-0.40455555555555556,-0.19732499999999997
2006,1,0.3389,-0.40638888888888886,-0.15835833333333335
2006,2,-0.2113,-0.3968333333333333,-0.2795916666666666
2006,3,0.5006,-0.18257777777777776,-0.2510666666666666
2006,4,-0.1693,-0.17338888888888887,-0.2947916666666666
2006,5,1.6954,-0.010366666666666635,-0.1287333333333333
2006,6,0.438,0.011555555555555585,0.026741666666666688
2006,7,0.9255,0.11094444444444447,0.12486666666666668
2006,8,-1.7271,-0.019677777777777756,-0.03807499999999999
2006,9,-0.3241,0.16295555555555558,-0.08514166666666666
2006,10,0.8792,0.22298888888888888,-0.014458333333333332
2006,11,0.1013,0.25772222222222224,0.039941666666666674
2006,12,0.6384,0.27303333333333335,0.257125
2007,1,-0.0828,0.2826444444444444,0.22198333333333334
2007,2,0.0749,0.1025888888888889,0.24583333333333335
2007,3,-0.5701,-0.009422222222222228,0.15660833333333332
2007,4,-1.0352,-0.22727777777777775,0.08444999999999998
2007,5,-0.6119,-0.10336666666666665,-0.10782500000000002
2007,6,-1.198,-0.20046666666666665,-0.24415833333333334
2007,7,-2.6307,-0.5904555555555555,-0.5405083333333334
2007,8,-0.1079,-0.6137,-0.405575
2007,9,0.0305,-0.6812444444444444,-0.37602500000000005
2007,10,-0.4337,-0.7202333333333333,-0.4854333333333334
2007,11,-0.9838,-0.8378666666666666,-0.5758583333333332
2007,12,1.9293,-0.5601555555555555,-0.4682833333333334
2008,1,1.2085,-0.31085555555555555,-0.3606749999999999
2008,2,1.1474,-0.11537777777777777,-0.27130000000000004
2008,3,0.5875,0.0830111111111111,-0.1748333333333333
