year,month,ice_extent_mean,ice_extent_min,ice_extent_max,ice_anomaly
2004,12,10.228903225806452,7.01,13.695,-0.42871726755218376
2005,1,4.751838709677419,3.363,6.822,-0.5616091081593924
2005,2,2.969607142857143,2.804,3.258,-0.3095559982613736
2005,3,4.081612903225807,3.085,5.348,-0.2189582542694497
2005,4,7.0319666666666665,5.49,8.522,-0.1548313725490198
2005,5,10.288806451612903,8.667,11.842,-0.2278083491461107
2005,6,13.291500000000001,11.967,14.698,-0.42574117647058607
2005,7,16.15783870967742,14.831,17.404,-0.0990986717267539
2005,8,17.922483870967742,17.513,18.31,-0.045461100569259116
2005,9,18.8048,18.198,19.295,0.06847450980392011
2005,10,18.4768064516129,17.882,19.159,0.1393339658444006
2005,11,16.316166666666668,13.971,17.848,0.3289823529411784
2005,12,9.68025806451613,6.408,13.698,-0.9773624288425058
2006,1,4.163548387096774,2.939,6.257,-1.1498994307400379
2006,2,2.651392857142857,2.487,2.898,-0.6277702839756594
2006,3,3.214612903225807,2.543,4.416,-1.0859582542694497
2006,4,6.010400000000001,4.495,7.451,-1.1763980392156856
2006,5,9.45625806451613,7.594,11.66,-1.060356736242884
2006,6,13.344766666666667,11.809,14.835,-0.3724745098039204
2006,7,16.114129032258067,14.925,17.063,-0.14280834914610807
2006,8,18.097645161290323,17.066,19.041,0.1297001897533221
2006,9,19.0941,18.875,19.36,0.3577745098039209
2006,10,18.732612903225807,17.986,19.257,0.39514041745730566
2006,11,16.229833333333332,13.655,17.946,0.24264901960784258
2006,12,9.854129032258065,6.838,13.488,-0.8034914611005703
2007,1,4.672580645161291,3.245,6.713,-0.6408671726755211
2007,2,2.9046071428571425,2.723,3.19,-0.374555998261374
2007,3,3.8348064516129035,3.055,4.903,-0.4657647058823531
2007,4,6.418266666666667,4.899,7.989,-0.7685313725490195
2007,5,9.647806451612903,8.024,11.59,-0.8688083491461107
2007,6,13.287299999999998,11.752,14.604,-0.4299411764705887
2007,7,15.955774193548388,14.785,17.293,-0.3011631878557868
2007,8,17.68190322580645,17.29,18.483,-0.2860417457305502
2007,9,18.860633333333332,18.517,19.086,0.1243078431372524
2007,10,18.50774193548387,17.788,19.026,0.17026944971537006
2007,11,15.892133333333334,14.136,17.666,-0.09505098039215554
2007,12,11.980516129032258,9.257,14.045,1.322895635673623
2008,1,6.413709677419354,4.381,9.12,1.1002618595825426
2008,2,3.8945172413793103,3.692,4.253,0.6153541002607938
2008,3,5.284451612903227,4.104,6.463,0.9838804554079701
2008,4,8.2423,6.673,9.482,1.055501960784314
2008,5,11.049354838709677,9.614,12.485,0.5327400379506635
2008,6,14.061666666666667,12.563,15.17,0.3444254901960804
2008,7,16.09483870967742,15.155,16.992,-0.1620986717267563
2008,8,17.644516129032258,17.019,18.106,-0.32342884250474313
2008,9,18.145033333333334,17.976,18.298,-0.591292156862746
2008,10,17.993903225806452,17.79,18.203,-0.3435692599620488
2008,11,16.248133333333335,14.447,17.818,0.2609490196078461
2008,12,11.51174193548387,8.029,14.396,0.8541214421252352
2009,1,5.707354838709677,3.78,8.007,0.39390702087286567
2009,2,2.9905714285714287,2.671,3.623,-0.2885917125470878
2009,3,4.441064516129033,3.09,5.982,0.1404933586337762
2009,4,7.798500000000001,6.072,9.281,0.6117019607843144
2009,5,10.92574193548387,9.339,12.392,0.40912713472485684
2009,6,13.907466666666666,12.44,15.003,0.19022549019607915
2009,7,16.26132258064516,15.11,17.129,0.004385199240985571
2009,8,18.097806451612904,17.249,18.538,0.1298614800759026
2009,9,18.960466666666665,18.601,19.299,0.22414117647058518
2009,10,18.29822580645161,17.514,18.932,-0.0392466793168893
2009,11,15.847833333333334,13.883,17.381,-0.13935098039215532
2009,12,10.738548387096774,7.594,13.664,0.08092789373813858
2010,1,4.958096774193548,3.646,7.456,-0.35535104364326386
2010,2,3.1054999999999997,2.842,3.572,-0.17366314111851677
2010,3,3.846741935483871,3.124,4.919,-0.45382922201138554
2010,4,6.715433333333333,5.048,8.562,-0.4713647058823529
2010,5,10.63925806451613,8.672,12.723,0.12264326375711576
2010,6,14.4102,12.888,15.915,0.6929588235294126
2010,7,16.921322580645164,16.004,17.784,0.6643851992409893
